ID,Event,Year,Season,Medal,Age
2043,Football Mens Football,1984,Summer,,
2044,Athletics Mens 5000 metres,2008,Summer,,28
2045,Athletics Mens Decathlon,1992,Summer,,22
2046,Diving Mens Platform,1996,Summer,,23
2047,Shooting Mens Trap,2004,Summer,,21
2047,Shooting Mens Trap,2008,Summer,,25
2048,Athletics Mens 100 metres,1992,Summer,,19
2049,Rowing Mens Single Sculls,1988,Summer,,27
2050,Football Mens Football,1984,Summer,,20
2051,Football Mens Football,1992,Summer,,19
2052,Athletics Mens 100 metres,1980,Summer,,18
2053,Shooting Mens Trap,2000,Summer,,22
2053,Shooting Mens Trap,2004,Summer,,26
2053,Shooting Mens Trap,2016,Summer,,38
2054,Swimming Mens 100 metres Butterfly,2008,Summer,,19
2055,Football Mens Football,1992,Summer,,21
2056,Handball Mens Handball,1996,Summer,,28
2057,Fencing Mens epee Team,1988,Summer,,
2058,Football Mens Football,1984,Summer,,23
2059,Athletics Mens Marathon,2004,Summer,,29
2059,Athletics Mens Marathon,2008,Summer,,33
2060,Handball Mens Handball,1980,Summer,,
2061,Boxing Mens Flyweight,1988,Summer,,18
2062,Football Mens Football,2000,Summer,,21
2063,Shooting Mens Double Trap,2000,Summer,,27
2063,Shooting Mens Double Trap,2004,Summer,,31
2064,Shooting Mens Skeet,1996,Summer,,27
2064,Shooting Mens Skeet,2000,Summer,,31
2064,Shooting Mens Skeet,2004,Summer,,35
2064,Shooting Mens Skeet,2008,Summer,,39
2065,Shooting Mens Skeet,2008,Summer,,26
2066,Shooting Mens Free Pistol 50 metres,1984,Summer,,
2067,Fencing Mens Foil Individual,1980,Summer,,17
2067,Fencing Mens Foil Team,1980,Summer,,17
2067,Fencing Mens epee Team,1980,Summer,,17
2067,Fencing Mens Foil Individual,1984,Summer,,21
2067,Fencing Mens Foil Team,1984,Summer,,21
2068,Boxing Mens Bantamweight,1988,Summer,,18
2069,Football Mens Football,1984,Summer,,22
2070,Athletics Mens 1500 metres,1992,Summer,,25
2071,Judo Mens Half-Lightweight,1984,Summer,,18
2071,Judo Mens Lightweight,1988,Summer,,22
2072,Table Tennis Womens Singles,2000,Summer,,33
2073,Athletics Womens 100 metres,2004,Summer,,16
2074,Shooting Mens Double Trap,2004,Summer,,29
2075,Athletics Mens 200 metres,2000,Summer,,22
2076,Handball Mens Handball,1992,Summer,,19
2076,Handball Mens Handball,1996,Summer,,23
2076,Handball Mens Handball,2000,Summer,,27
2077,Taekwondo Mens Flyweight,2004,Summer,,16
2078,Swimming Womens 50 metres Freestyle,2012,Summer,,18
2079,Athletics Mens Long Jump,2000,Summer,,20
2079,Athletics Mens Long Jump,2004,Summer,,24
